file_id,student_id,page_id,spine_id,full_name,name,skin_name,spine_remark,name_cn,name_jp,name_tw,name_en,name_kr,school_id,school_name
serika_shibaseki,44,83,45,黑见 芹香（打工制服）,黑见 芹香,,打工制服,黑见 芹香,黒見 セリカ,黒見 茜香,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
marina,45,45,1403,池仓 玛丽娜,池仓 玛丽娜,,,池仓 真里奈,池倉 マリナ,池倉 瑪麗娜,Ikekura Marina,이케쿠라 마리나,5,红冬联邦学园
CH0270,45,389,1272,池仓 玛丽娜（旗袍）,池仓 玛丽娜,旗袍,,池仓 真里奈（旗袍）,池倉 マリナ（チーパオ）,池倉 瑪麗娜（旗袍）,Ikekura Marina,이케쿠라 마리나,5,红冬联邦学园
CH0179,46,46,1617,久田 泉奈（泳装）,久田 泉奈,泳装,,久田 泉奈（泳装）,久田 イズナ（水着）,久田 伊樹菜（泳裝）,Kuda Izuna,쿠다 이즈나,9,百鬼夜行联合学园
NP0052,46,180,1721,久田 泉奈（运动服）,久田 泉奈,,运动服,久田 泉奈,久田 イズナ,久田 伊樹菜,Kuda Izuna,쿠다 이즈나,9,百鬼夜行联合学园
izuna,46,180,1397,久田 泉奈,久田 泉奈,,,久田 泉奈,久田 イズナ,久田 伊樹菜,Kuda Izuna,쿠다 이즈나,9,百鬼夜行联合学园
CH0298,46,570,1300,久田 泉奈（礼服）,久田 泉奈,礼服,,久田 泉奈（礼服）,久田 イズナ（ドレス）,久田 伊樹菜（禮服）,Kuda Izuna,쿠다 이즈나,9,百鬼夜行联合学园
CH0176,47,47,1614,奥空 绫音（泳装）,奥空 绫音,泳装,,奥空 绫音（泳装）,奥空 アヤネ（水着）,奥空 綾音（泳裝）,Okusora Ayane,오쿠소라 아야네,1,阿比多斯高中
NP0066,47,47,1735,"奥空 绫音（泳装,头套）",奥空 绫音,泳装,头套,奥空 绫音（泳装）,奥空 アヤネ（水着）,奥空 綾音（泳裝）,Okusora Ayane,오쿠소라 아야네,1,阿比多斯高中
NP0048,47,85,1718,奥空 绫音（运动服）,奥空 绫音,,运动服,奥空 绫音,奥空 アヤネ,奥空 綾音,Okusora Ayane,오쿠소라 아야네,1,阿比多斯高中
NP0108,47,85,1799,奥空 绫音（领航服）,奥空 绫音,,领航服,奥空 绫音,奥空 アヤネ,奥空 綾音,Okusora Ayane,오쿠소라 아야네,1,阿比多斯高中
NP0174,47,85,1540,奥空 绫音（战损）,奥空 绫音,,战损,奥空 绫音,奥空 アヤネ,奥空 綾音,Okusora Ayane,오쿠소라 아야네,1,阿比多斯高中
NP0218,47,85,1348,奥空 绫音（偶像服）,奥空 绫音,,偶像服,奥空 绫音,奥空 アヤネ,奥空 綾音,Okusora Ayane,오쿠소라 아야네,1,阿比多斯高中
ayane,47,85,1558,奥空 绫音,奥空 绫音,,,奥空 绫音,奥空 アヤネ,奥空 綾音,Okusora Ayane,오쿠소라 아야네,1,阿比多斯高中
ayane_robber,47,85,1820,奥空 绫音（头套）,奥空 绫音,,头套,奥空 绫音,奥空 アヤネ,奥空 綾音,Okusora Ayane,오쿠소라 아야네,1,阿比多斯高中
CH0178,48,48,1616,和乐 千世（泳装）,和乐 千世,泳装,,和乐 千世（泳装）,和楽 チセ（水着）,和樂 知世（泳裝）,Waraku Chise,와라쿠 치세,9,百鬼夜行联合学园
NP0055,48,84,1724,和乐 千世（运动服）,和乐 千世,,运动服,和乐 千世,和楽 チセ,和樂 知世,Waraku Chise,와라쿠 치세,9,百鬼夜行联合学园
chise,48,84,1822,和乐 千世,和乐 千世,,,和乐 千世,和楽 チセ,和樂 知世,Waraku Chise,와라쿠 치세,9,百鬼夜行联合学园
CH0177,49,49,1615,爱清 枫香（正月）,爱清 枫香,正月,,爱清 风香（新年）,愛清 フウカ（正月）,愛清 風華（正月）,Aikiyo Fuuka,아이키요 후우카,3,格赫娜学园
fuuka,49,97,1824,爱清 枫香,爱清 枫香,,,爱清 风香,愛清 フウカ,愛清 風華,Aikiyo Fuuka,아이키요 후우카,3,格赫娜学园
CH0290,49,522,1292,爱清 枫香（私服）,爱清 枫香,私服,,爱清 风香（便服）,愛清 フウカ（私服）,愛清 風華（私服）,Aikiyo Fuuka,아이키요 후우카,3,格赫娜学园
CH0180,50,50,1618,河和 静子（泳装）,河和 静子,泳装,,河和 静子（泳装）,河和 シズコ（水着）,河和 靜子（泳裝）,Kawawa Shizuko,카와와 시즈코,9,百鬼夜行联合学园
NP0053,50,96,1722,河和 静子（运动服）,河和 静子,,运动服,河和 静子,河和 シズコ,河和 靜子,Kawawa Shizuko,카와와 시즈코,9,百鬼夜行联合学园
shizuko,50,96,31,河和 静子,河和 静子,,,河和 静子,河和 シズコ,河和 靜子,Kawawa Shizuko,카와와 시즈코,9,百鬼夜行联合学园
CH0181,51,51,1640,猫冢 响（应援团）,猫冢 响,应援团,,猫冢 响（应援团）,猫塚 ヒビキ（応援団）,猫塚 響（應援團）,Nekozuka Hibiki,네코즈카 히비키,4,千禧科学学院
hibiki,51,69,1833,猫冢 响,猫冢 响,,,猫冢 响,猫塚 ヒビキ,猫塚 響,Nekozuka Hibiki,네코즈카 히비키,4,千禧科学学院
NP0109,52,52,1800,早濑 优香（领航服）,早濑 优香,,领航服,早濑 优香,早瀬 ユウカ,早瀬 優香,Hayase Yuuka,하야세 유우카,4,千禧科学学院
yuuka,52,52,1426,早濑 优香,早濑 优香,,,早濑 优香,早瀬 ユウカ,早瀬 優香,Hayase Yuuka,하야세 유우카,4,千禧科学学院
CH0184,52,54,1642,早濑 优香（体操服）,早濑 优香,体操服,,早濑 优香（体操服）,早瀬 ユウカ（体操服）,早瀬 優香（體育服）,Hayase Yuuka,하야세 유우카,4,千禧科学学院
CH0284,52,505,1286,早濑 优香（睡衣）,早濑 优香,睡衣,,早濑 优香（睡衣）,早瀬 ユウカ（パジャマ）,早瀬 優香（睡衣）,Hayase Yuuka,하야세 유우카,4,千禧科学学院
CH0182,53,53,1641,白石 歌原（应援团）,白石 歌原,应援团,,白石 歌原（应援团）,白石 ウタハ（応援団）,白石 詠葉（應援團）,Shiraishi Utaha,시라이시 우타하,4,千禧科学学院
NP0221,53,185,1351,白石 歌原（和服）,白石 歌原,,和服,白石 歌原,白石 ウタハ,白石 詠葉,Shiraishi Utaha,시라이시 우타하,4,千禧科学学院
utaha,53,185,1424,白石 歌原,白石 歌原,,,白石 歌原,白石 ウタハ,白石 詠葉,Shiraishi Utaha,시라이시 우타하,4,千禧科学学院
utahaturret,53,185,19,白石 歌原（雷酱）,白石 歌原,,雷酱,白石 歌原,白石 ウタハ,白石 詠葉,Shiraishi Utaha,시라이시 우타하,4,千禧科学学院
CH0186,55,55,1643,伊落 玛丽（体操服）,伊落 玛丽,体操服,,伊落 玛丽（体操服）,伊落 マリー（体操服）,伊落 瑪麗（體育服）,Iochi Mari,이오치 마리,2,圣三一综合学园
mari,55,99,1402,伊落 玛丽,伊落 玛丽,,,伊落 玛丽,伊落 マリー,伊落 瑪麗,Iochi Mari,이오치 마리,2,圣三一综合学园
CH0273,55,498,1275,伊落 玛丽（偶像）,伊落 玛丽,偶像,,伊落 玛丽（偶像）,伊落 マリー（アイドル）,伊落 瑪麗（偶像）,Iochi Mari,이오치 마리,2,圣三一综合学园
CH0185,57,57,1463,丰见 小鸟（应援团）,丰见 小鸟,应援团,,丰见 琴里（应援团）,豊見 コトリ（応援団）,豊見 亞都梨（應援團）,Toyomi Kotori,토요미 코토리,4,千禧科学学院
NP0069,57,211,1738,丰见 小鸟（运动服）,丰见 小鸟,,运动服,丰见 琴里,豊見 コトリ,豊見 亞都梨,Toyomi Kotori,토요미 코토리,4,千禧科学学院
kotori,57,211,1401,丰见 小鸟,丰见 小鸟,,,丰见 琴里,豊見 コトリ,豊見 亞都梨,Toyomi Kotori,토요미 코토리,4,千禧科学学院
CH0188,58,58,1645,砂狼 白子（泳装）,砂狼 白子,泳装,,砂狼 白子（泳装）,砂狼 シロコ（水着）,砂狼 白子（泳裝）,Sunaookami Shiroko,스나오오카미 시로코,1,阿比多斯高中
NP0064,58,58,1733,"砂狼 白子（泳装,头套）",砂狼 白子,泳装,头套,砂狼 白子（泳装）,砂狼 シロコ（水着）,砂狼 白子（泳裝）,Sunaookami Shiroko,스나오오카미 시로코,1,阿比多斯高中
NP0046,58,86,1716,砂狼 白子（运动服）,砂狼 白子,,运动服,砂狼 白子,砂狼 シロコ,砂狼 白子,Sunaookami Shiroko,스나오오카미 시로코,1,阿比多斯高中
NP0124,58,86,1335,砂狼 白子（战损）,砂狼 白子,,战损,砂狼 白子,砂狼 シロコ,砂狼 白子,Sunaookami Shiroko,스나오오카미 시로코,1,阿比多斯高中
NP0172,58,86,1538,砂狼 白子（一年级）,砂狼 白子,,一年级,砂狼 白子,砂狼 シロコ,砂狼 白子,Sunaookami Shiroko,스나오오카미 시로코,1,阿比多斯高中
shiroko,58,86,1562,砂狼 白子,砂狼 白子,,,砂狼 白子,砂狼 シロコ,砂狼 白子,Sunaookami Shiroko,스나오오카미 시로코,1,阿比多斯高中
shiroko_robber,58,86,33,砂狼 白子（头套）,砂狼 白子,,头套,砂狼 白子,砂狼 シロコ,砂狼 白子,Sunaookami Shiroko,스나오오카미 시로코,1,阿比多斯高中
shiroko_ridingsuit,58,87,34,砂狼 白子（骑行服）,砂狼 白子,骑行服,,砂狼 白子（骑行）,砂狼 シロコ（ライディング）,砂狼 白子（單車）,Sunaookami Shiroko,스나오오카미 시로코,1,阿比多斯高中
CH0190,60,60,1646,羽川 莲见（体操服）,羽川 莲见,体操服,,羽川 莲见（体操服）,羽川 ハスミ（体操服）,羽川 蓮實（體育服）,Hanekawa Hasumi,하네카와 하스미,2,圣三一综合学园
hasumi,60,111,1392,羽川 莲见,羽川 莲见,,,羽川 莲见,羽川 ハスミ,羽川 蓮實,Hanekawa Hasumi,하네카와 하스미,2,圣三一综合学园
CH0291,60,541,1293,羽川 莲见（泳装）,羽川 莲见,泳装,,羽川 莲见（泳装）,羽川 ハスミ（水着）,羽川 蓮實（泳裝）,Hanekawa Hasumi,하네카와 하스미,2,圣三一综合学园
CH0139,61,61,1246,龙华 妃咲,龙华 妃咲,,,龙华 妃咲,竜華 キサキ,龍華 妃姬,Ryuuge Kisaki,류우게 키사키,7,山海经高级中学
NP0216,61,61,1346,龙华 妃咲（幼儿园）,龙华 妃咲,,幼儿园,龙华 妃咲,竜華 キサキ,龍華 妃姬,Ryuuge Kisaki,류우게 키사키,7,山海经高级中学
CH0356,61,599,1701,龙华 妃咲（泳装）,龙华 妃咲,泳装,,龙华 妃咲（泳装）,竜華 キサキ（水着）,龍華 妃姬（泳裝）,Ryuuge Kisaki,류우게 키사키,7,山海经高级中学
NP0284,61,599,1707,"龙华 妃咲（泳装,幼儿园泳装）",龙华 妃咲,泳装,幼儿园泳装,龙华 妃咲（泳装）,竜華 キサキ（水着）,龍華 妃姬（泳裝）,Ryuuge Kisaki,류우게 키사키,7,山海经高级中学
CH0159,62,62,150,明星 日鞠,明星 日鞠,,,明星 日鞠,明星 ヒマリ,明星 陽葵,Akeboshi Himari,아케보시 히마리,4,千禧科学学院
NP0112,62,62,88,明星 日鞠（领航服）,明星 日鞠,,领航服,明星 日鞠,明星 ヒマリ,明星 陽葵,Akeboshi Himari,아케보시 히마리,4,千禧科学学院
NP0161,62,62,1528,明星 日鞠（防寒棉袄）,明星 日鞠,,防寒棉袄,明星 日鞠,明星 ヒマリ,明星 陽葵,Akeboshi Himari,아케보시 히마리,4,千禧科学学院
CH0332,62,572,1327,明星 日鞠（临战）,明星 日鞠,临战,,明星 日鞠（武装）,明星 ヒマリ（臨戦）,明星 陽葵（武裝）,Akeboshi Himari,아케보시 히마리,4,千禧科学学院
NP0276,62,572,1384,"明星 日鞠（临战,像素画）",明星 日鞠,临战,像素画,明星 日鞠（武装）,明星 ヒマリ（臨戦）,明星 陽葵（武裝）,Akeboshi Himari,아케보시 히마리,4,千禧科学学院
NP0278,62,572,1385,"明星 日鞠（临战,轮椅）",明星 日鞠,临战,轮椅,明星 日鞠（武装）,明星 ヒマリ（臨戦）,明星 陽葵（武裝）,Akeboshi Himari,아케보시 히마리,4,千禧科学学院
CH0141,63,63,1247,合欢垣 吹雪,合欢垣 吹雪,,,合欢垣 吹雪,合歓垣 フブキ,合歓垣 吹雪,Nemugaki Fubuki,네무가키 후부키,8,瓦尔基里警察学校
NP0219,63,63,1349,合欢垣 吹雪（偶像服）,合欢垣 吹雪,,偶像服,合欢垣 吹雪,合歓垣 フブキ,合歓垣 吹雪,Nemugaki Fubuki,네무가키 후부키,8,瓦尔基里警察学校
CH0261,63,376,1264,合欢垣 吹雪（泳装）,合欢垣 吹雪,泳装,,合欢垣 吹雪（泳装）,合歓垣 フブキ（水着）,合歓垣 吹雪（泳裝）,Nemugaki Fubuki,네무가키 후부키,8,瓦尔基里警察学校
CH0171,64,64,1609,七度 雪乃,七度 雪乃,,,七度 雪乃,七度 ユキノ,七度 雪乃,Shichido Yukino,시치도 유키노,11,SRT特殊学园
NP0293,64,64,1575,七度 雪乃（无武器）,七度 雪乃,,无武器,七度 雪乃,七度 ユキノ,七度 雪乃,Shichido Yukino,시치도 유키노,11,SRT特殊学园
CH0172,65,65,1610,吉野 妮可,吉野 妮可,,,妮可,吉野 ニコ,吉野 仁子,Yoshino Niko,요시노 니코,11,SRT特殊学园
NP0139,65,65,1622,吉野 妮可（无武器）,吉野 妮可,,无武器,妮可,吉野 ニコ,吉野 仁子,Yoshino Niko,요시노 니코,11,SRT特殊学园
NP0283,65,65,1639,吉野 妮可（FOX EATS）,吉野 妮可,,FOX EATS,妮可,吉野 ニコ,吉野 仁子,Yoshino Niko,요시노 니코,11,SRT特殊学园
CH0173,66,66,1611,高仓 胡桃,高仓 胡桃,,,胡桃,高倉 クルミ,胡桃,Takakura Kurumi,타카쿠라 쿠루미,11,SRT特殊学园
NP0140,66,66,1623,高仓 胡桃（无武器）,高仓 胡桃,,无武器,胡桃,高倉 クルミ,胡桃,Takakura Kurumi,타카쿠라 쿠루미,11,SRT特殊学园
CH0174,67,67,1612,天神山 音葵,天神山 音葵,,,御伽,天神山 オトギ,御伽,Tenjinyama Otogi,텐진야마 오토기,11,SRT特殊学园
NP0141,67,67,1624,天神山 音葵（无武器）,天神山 音葵,,无武器,御伽,天神山 オトギ,御伽,Tenjinyama Otogi,텐진야마 오토기,11,SRT特殊学园
CH9999,68,68,1656,初音未来,初音未来,,,初音 未来,初音 ミク,初音 未來,Hatsune Miku,하츠네 미쿠,26,联动作品
CH0058,70,70,1583,阿慈谷 日富美（泳装）,阿慈谷 日富美,泳装,,阿慈谷 日富美（泳装）,阿慈谷 ヒフミ（水着）,阿慈谷 日步美（泳裝）,Ajitani Hifumi,아지타니 히후미,2,圣三一综合学园
NP0005,70,74,1669,阿慈谷 日富美（运动服）,阿慈谷 日富美,,运动服,阿慈谷 日富美,阿慈谷 ヒフミ,阿慈谷 日步美,Ajitani Hifumi,아지타니 히후미,2,圣三一综合学园
NP0006,70,74,1670,阿慈谷 日富美（学校泳装）,阿慈谷 日富美,,学校泳装,阿慈谷 日富美,阿慈谷 ヒフミ,阿慈谷 日步美,Ajitani Hifumi,아지타니 히후미,2,圣三一综合学园
hihumi,70,74,1835,阿慈谷 日富美,阿慈谷 日富美,,,阿慈谷 日富美,阿慈谷 ヒフミ,阿慈谷 日步美,Ajitani Hifumi,아지타니 히후미,2,圣三一综合学园
hihumi_robber,70,74,1834,阿慈谷 日富美（头套）,阿慈谷 日富美,,头套,阿慈谷 日富美,阿慈谷 ヒフミ,阿慈谷 日步美,Ajitani Hifumi,아지타니 히후미,2,圣三一综合学园
NP0009,71,71,1673,空崎 日奈（睡衣）,空崎 日奈,,睡衣,空崎 日奈,空崎 ヒナ,空崎 陽奈,Sorasaki Hina,소라사키 히나,3,格赫娜学园
NP0017,71,71,291,空崎 日奈（战损）,空崎 日奈,,战损,空崎 日奈,空崎 ヒナ,空崎 陽奈,Sorasaki Hina,소라사키 히나,3,格赫娜学园
NP0205,71,71,1554,空崎 日奈（睡衣）,空崎 日奈,,睡衣,空崎 日奈,空崎 ヒナ,空崎 陽奈,Sorasaki Hina,소라사키 히나,3,格赫娜学园
hina,71,71,288,空崎 日奈,空崎 日奈,,,空崎 日奈,空崎 ヒナ,空崎 陽奈,Sorasaki Hina,소라사키 히나,3,格赫娜学园
CH0063,71,121,1237,空崎 日奈（泳装）,空崎 日奈,泳装,,空崎 日奈（泳装）,空崎 ヒナ（水着）,空崎 陽奈（泳裝）,Sorasaki Hina,소라사키 히나,3,格赫娜学园
CH0230,71,346,1255,空崎 日奈（礼服）,空崎 日奈,礼服,,空崎 日奈（礼服）,空崎 ヒナ（ドレス）,空崎 陽奈（禮服）,Sorasaki Hina,소라사키 히나,3,格赫娜学园
iori,72,72,1395,银镜 伊织,银镜 伊织,,,银镜 伊织,銀鏡 イオリ,銀鏡 伊織,Shiromi Iori,시로미 이오리,3,格赫娜学园
CH0064,72,122,1585,银镜 伊织（泳装）,银镜 伊织,泳装,,银镜 伊织（泳装）,銀鏡 イオリ（水着）,銀鏡 伊織（泳裝）,Shiromi Iori,시로미 이오리,3,格赫娜学园
NP0051,73,73,1769,狮子堂 泉（运动服）,狮子堂 泉,,运动服,狮子堂 泉,獅子堂 イズミ,獅子堂 泉,Shishido Izumi,시시도우 이즈미,3,格赫娜学园
izumi,73,73,1396,狮子堂 泉,狮子堂 泉,,,狮子堂 泉,獅子堂 イズミ,獅子堂 泉,Shishido Izumi,시시도우 이즈미,3,格赫娜学园
izumi_swimsuit,73,75,306,狮子堂 泉（泳装）,狮子堂 泉,泳装,,狮子堂 泉（泳装）,獅子堂 イズミ（水着）,獅子堂 泉（泳裝）,Shishido Izumi,시시도우 이즈미,3,格赫娜学园
CH0197,73,156,1251,狮子堂 泉（正月）,狮子堂 泉,正月,,狮子堂 泉（新年）,獅子堂 イズミ（正月）,獅子堂 泉（正月）,Shishido Izumi,시시도우 이즈미,3,格赫娜学园
CH0187,77,77,1644,飞鸟马 时,飞鸟马 时,,,飞鸟马 时,飛鳥馬 トキ,飛鳥馬 季,Asuma Toki,아스마 토키,4,千禧科学学院
NP0078,77,77,1746,飞鸟马 时（战斗模式）,飞鸟马 时,,战斗模式,飞鸟马 时,飛鳥馬 トキ,飛鳥馬 季,Asuma Toki,아스마 토키,4,千禧科学学院
NP0079,77,77,1747,飞鸟马 时（阿比舒机甲）,飞鸟马 时,,阿比舒机甲,飞鸟马 时,飛鳥馬 トキ,飛鳥馬 季,Asuma Toki,아스마 토키,4,千禧科学学院
NP0080,77,77,1748,飞鸟马 时（包扎）,飞鸟马 时,,包扎,飞鸟马 时,飛鳥馬 トキ,飛鳥馬 季,Asuma Toki,아스마 토키,4,千禧科学学院
NP0123,77,77,74,"飞鸟马 时（战损,机甲）",飞鸟马 时,,"战损,机甲",飞鸟马 时,飛鳥馬 トキ,飛鳥馬 季,Asuma Toki,아스마 토키,4,千禧科学学院
CH0211,77,230,1654,飞鸟马 时（兔女郎）,飞鸟马 时,兔女郎,,飞鸟马 时（邦妮）,飛鳥馬 トキ（バニーガール）,飛鳥馬 季（兔女郎）,Asuma Toki,아스마 토키,4,千禧科学学院
CH0308,77,516,1308,飞鸟马 时（制服）,飞鸟马 时,制服,,飞鸟马 时,飛鳥馬 トキ（制服）,飛鳥馬 季,Asuma Toki,아스마 토키,4,千禧科学学院
CH0333,77,573,1328,飞鸟马 时（临战）,飞鸟马 时,临战,,飞鸟马 时（武装）,飛鳥馬 トキ（臨戦）,飛鳥馬 季（武裝）,Asuma Toki,아스마 토키,4,千禧科学学院
NP0062,79,79,1731,静山 真白（运动服）,静山 真白,,运动服,静山 真白,静山 マシロ,靜山 麻白,Shizuyama Mashiro,시즈야마 마시로,2,圣三一综合学园
mashiro,79,79,350,静山 真白,静山 真白,,,静山 真白,静山 マシロ,靜山 麻白,Shizuyama Mashiro,시즈야마 마시로,2,圣三一综合学园
mashiro_swimsuit,79,80,351,静山 真白（泳装）,静山 真白,泳装,,静山 真白（泳装）,静山 マシロ（水着）,靜山 麻白（泳裝）,Shizuyama Mashiro,시즈야마 마시로,2,圣三一综合学园
NP0237,81,81,1362,花冈 柚子（防寒服）,花冈 柚子,,防寒服,花冈 柚子,花岡 ユズ,花岡 柚子,Hanaoka Yuzu,하나오카 유즈,4,千禧科学学院
yuzu,81,81,11,花冈 柚子,花冈 柚子,,,花冈 柚子,花岡 ユズ,花岡 柚子,Hanaoka Yuzu,하나오카 유즈,4,千禧科学学院
CH0203,81,82,1653,花冈 柚子（女仆）,花冈 柚子,女仆,,花冈 柚子（女仆）,花岡 ユズ（メイド）,花岡 柚子（女僕）,Hanaoka Yuzu,하나오카 유즈,4,千禧科学学院
NP0126,81,82,1808,"花冈 柚子（女仆,箱子）",花冈 柚子,女仆,箱子,花冈 柚子（女仆）,花岡 ユズ（メイド）,花岡 柚子（女僕）,Hanaoka Yuzu,하나오카 유즈,4,千禧科学学院
CH0336,81,577,1330,花冈 柚子（临战）,花冈 柚子,临战,,花冈 柚子（武装）,花岡 ユズ（臨戦）,花岡 柚子（武裝）,Hanaoka Yuzu,하나오카 유즈,4,千禧科学学院
saya,88,88,52,药子 纱绫,药子 纱绫,,,药子 纱绫,薬子 サヤ,薬子 沙耶,Yakushi Saya,야쿠시 사야,7,山海经高级中学
saya_casual,88,89,54,药子 纱绫（私服）,药子 纱绫,私服,,药子 纱绫（便服）,薬子 サヤ（私服）,薬子 沙耶（私服）,Yakushi Saya,야쿠시 사야,7,山海经高级中学
shun,90,90,1416,春原 瞬,春原 瞬,,,春原 瞬,春原 シュン,春原 旬,Sunohara Shun,스노하라 슌,7,山海经高级中学
CH0066,90,109,1586,春原 瞬（幼女）,春原 瞬,幼女,,春原 瞬（小）,春原 シュン（幼女）,春原 旬（幼女）,Sunohara Shun,스노하라 슌,7,山海经高级中学
CH0355,90,598,1700,春原 瞬（泳装）,春原 瞬,泳装,,春原 瞬（泳装）,春原 シュン（水着）,春原 旬（泳裝）,Sunohara Shun,스노하라 슌,7,山海经高级中学
NP0075,91,91,1743,"鹫见 芹娜（护士服,运动会）",鹫见 芹娜,,"护士服,运动会",鹫见 芹娜,鷲見 セリナ,鷲見 芹奈,Sumi Serina,스미 세리나,2,圣三一综合学园
serina,91,91,42,鹫见 芹娜,鹫见 芹娜,,,鹫见 芹娜,鷲見 セリナ,鷲見 芹奈,Sumi Serina,스미 세리나,2,圣三一综合学园
CH0194,91,153,1649,鹫见 芹娜（圣诞节）,鹫见 芹娜,圣诞节,,鹫见 芹娜（圣诞）,鷲見 セリナ（クリスマス）,鷲見 芹奈（聖誕節）,Sumi Serina,스미 세리나,2,圣三一综合学园
NP0003,92,92,1667,浦和 花子（运动服）,浦和 花子,,运动服,浦和 花子,浦和 ハナコ,浦和 花子,Urawa Hanako,우라와 하나코,2,圣三一综合学园
NP0004,92,92,1668,浦和 花子（学校泳装）,浦和 花子,,学校泳装,浦和 花子,浦和 ハナコ,浦和 花子,Urawa Hanako,우라와 하나코,2,圣三一综合学园
NP0110,92,92,1801,浦和 花子（领航服）,浦和 花子,,领航服,浦和 花子,浦和 ハナコ,浦和 花子,Urawa Hanako,우라와 하나코,2,圣三一综合学园
hanako,92,92,1827,浦和 花子,浦和 花子,,,浦和 花子,浦和 ハナコ,浦和 花子,Urawa Hanako,우라와 하나코,2,圣三一综合学园
CH0209,92,300,1469,浦和 花子（泳装）,浦和 花子,泳装,,浦和 花子（泳装）,浦和 ハナコ（水着）,浦和 花子（泳裝）,Urawa Hanako,우라와 하나코,2,圣三一综合学园
NP0151,92,300,1521,"浦和 花子（泳装,无水管）",浦和 花子,泳装,无水管,浦和 花子（泳装）,浦和 ハナコ（水着）,浦和 花子（泳裝）,Urawa Hanako,우라와 하나코,2,圣三一综合学园
tsubaki,93,93,1422,春日 椿,春日 椿,,,春日 椿,春日 ツバキ,春日 椿,Kasuga Tsubaki,카스가 츠바키,9,百鬼夜行联合学园
CH0255,93,360,1500,春日 椿（导游）,春日 椿,导游,,春日 椿（导游）,春日 ツバキ（ガイド）,春日 椿（導覽員）,Kasuga Tsubaki,카스가 츠바키,9,百鬼夜行联合学园
NP0058,94,94,1727,剑先 鹤城（运动服）,剑先 鹤城,,运动服,剑先 鹤城,剣先 ツルギ,劍先 弦生,Kenzaki Tsurugi,켄자키 츠루기,2,圣三一综合学园
NP0223,94,94,846,剑先 鹤城（演出服）,剑先 鹤城,,演出服,剑先 鹤城,剣先 ツルギ,劍先 弦生,Kenzaki Tsurugi,켄자키 츠루기,2,圣三一综合学园
tsurugi,94,94,1423,剑先 鹤城,剑先 鹤城,,,剑先 鹤城,剣先 ツルギ,劍先 弦生,Kenzaki Tsurugi,켄자키 츠루기,2,圣三一综合学园
CH0060,94,269,1584,剑先 鹤城（泳装）,剑先 鹤城,泳装,,剑先 鹤城（泳装）,剣先 ツルギ（水着）,劍先 弦生（泳裝）,Kenzaki Tsurugi,켄자키 츠루기,2,圣三一综合学园
tomoe,95,95,1421,佐城 智惠,佐城 智惠,,,佐城 巴,佐城 トモエ,佐城 智惠,Sashiro Tomoe,사시로 토모에,5,红冬联邦学园
CH0271,95,388,1273,佐城 智惠（旗袍）,佐城 智惠,旗袍,,佐城 巴（旗袍）,佐城 トモエ（チーパオ）,佐城 智惠（旗袍）,Sashiro Tomoe,사시로 토모에,5,红冬联邦学园
NP0076,98,98,1744,朝颜 花江（应援团）,朝颜 花江,,应援团,朝颜 花江,朝顔 ハナエ,朝顏 花繪,Asagao Hanae,아사가오 하나에,2,圣三一综合学园
hanae,98,98,1826,朝颜 花江,朝颜 花江,,,朝颜 花江,朝顔 ハナエ,朝顏 花繪,Asagao Hanae,아사가오 하나에,2,圣三一综合学园
CH0195,98,178,1650,朝颜 花江（圣诞节）,朝颜 花江,圣诞节,,朝颜 花江（圣诞）,朝顔 ハナエ（クリスマス）,朝顏 花繪（聖誕節）,Asagao Hanae,아사가오 하나에,2,圣三一综合学园
NP0220,100,100,1350,中务 桐乃（偶像服）,中务 桐乃,,偶像服,中务 桐乃,中務 キリノ,中務 桐乃,Nakatsukasa Kirino,나카츠카사 키리노,8,瓦尔基里警察学校
kirino,100,100,333,中务 桐乃,中务 桐乃,,,中务 桐乃,中務 キリノ,中務 桐乃,Nakatsukasa Kirino,나카츠카사 키리노,8,瓦尔基里警察学校
CH0262,100,377,1265,中务 桐乃（泳装）,中务 桐乃,泳装,,中务 桐乃（泳装）,中務 キリノ（水着）,中務 桐乃（泳裝）,Nakatsukasa Kirino,나카츠카사 키리노,8,瓦尔基里警察学校
CH0198,101,101,1651,黑崎 小雪,黑崎 小雪,,,黑崎 小雪,黒崎 コユキ,黒崎 小雪,Kurosaki Koyuki,쿠로사키 코유키,4,千禧科学学院
CH0162,101,161,1603,黑崎 小雪（兔女郎）,黑崎 小雪,兔女郎,,黑崎 小雪（邦妮）,黒崎 コユキ（バニーガール）,黒崎 小雪（兔女郎）,Kurosaki Koyuki,쿠로사키 코유키,4,千禧科学学院
CH0310,101,508,1310,黑崎 小雪（睡衣）,黑崎 小雪,睡衣,,黑崎 小雪,黒崎 コユキ（パジャマ）,黒崎 小雪（睡衣）,Kurosaki Koyuki,쿠로사키 코유키,4,千禧科学学院
aru_newyear,102,102,1817,陆八魔 阿露（正月）,陆八魔 阿露,正月,,陆八魔 爱露（新年）,陸八魔 アル（正月）,陸八魔 亞瑠（正月）,Rikuhachima Aru,리쿠하치마 아루,3,格赫娜学园
aru,102,112,1818,陆八魔 阿露,陆八魔 阿露,,,陆八魔 爱露,陸八魔 アル,陸八魔 亞瑠,Rikuhachima Aru,리쿠하치마 아루,3,格赫娜学园
